id,time,operator,action,target,detail,ip
AL0081,2026-08-30T13:58:38,李明,LOGIN,sys_user/S1003,登录成功,0:0:0:0:0:0:0:1
AL0082,2026-08-30T13:58:39,李明,LOGOUT,,退出登录,0:0:0:0:0:0:0:1
AL0083,2026-08-30T13:58:39,李明,LOGIN,sys_user/S1003,登录成功,0:0:0:0:0:0:0:1
AL0084,2026-08-30T13:58:39,李明,LOGIN,sys_user/S1003,登录成功,0:0:0:0:0:0:0:1
AL0085,2026-08-30T13:58:39,李明,PRIVACY_CONSENT,consent/v1.0,同意隐私授权,0:0:0:0:0:0:0:1
AL0086,2026-08-30T14:01:06,李明,LOGIN,sys_user/S1003,登录成功,0:0:0:0:0:0:0:1
AL0087,2026-08-30T14:01:06,李明,LOGOUT,,退出登录,0:0:0:0:0:0:0:1
AL0088,2026-08-30T14:02:47,李明,LOGIN,sys_user/S1003,登录成功,0:0:0:0:0:0:0:1
AL0089,2026-08-30T14:10:18,李明,LOGIN,sys_user/S1003,登录成功,0:0:0:0:0:0:0:1
AL0090,2026-08-30T14:11:11,李明,LOGIN,sys_user/S1003,登录成功,0:0:0:0:0:0:0:1
AL0091,2026-08-30T14:11:25,李明,LOGIN,sys_user/S1003,登录成功,0:0:0:0:0:0:0:1
AL0092,2026-08-30T14:12:36,李明,LOGIN,sys_user/S1003,登录成功,0:0:0:0:0:0:0:1
AL0093,2026-08-30T14:13:54,李明,LOGIN,sys_user/S1003,登录成功,0:0:0:0:0:0:0:1
AL0094,2026-08-30T14:14:22,李明,LOGIN,sys_user/S1003,登录成功,0:0:0:0:0:0:0:1
AL0095,2026-08-30T14:16:49,李明,LOGIN,sys_user/S1003,登录成功,0:0:0:0:0:0:0:1
